player_id,total_games,games_played,goals,assists,ppg,yellow_cards,second_yellow_cards,red_cards
346779,34,30,7,3,1.03,10,,
250426,37,23,2,3,0.87,7,1,
37304,31,13,1,,1.23,3,1,
328658,27,24,1,2,1.29,7,5,
442248,32,32,1,1,1.13,4,1,
125314,37,37,3,2,1.16,1,7,
503241,2,,,,,,,
724529,1,,,,,,,
92572,33,28,,,1.29,,8,
85177,33,16,,1,1.56,,1,
78959,29,,,,,,,
241481,18,3,,,,1,,
74300,29,15,,,1.33,8,1,
66934,33,27,,1,1.33,9,3,
488362,34,34,8,3,1.32,7,10,
207014,31,16,,1,1.56,8,6,
41416,22,21,,4,1.43,4,3,
157506,36,32,4,2,1.25,7,1,
479999,25,13,1,1,1,4,1,
145988,33,33,14,1,1.3,2,4,1
566723,28,26,2,5,1.23,8,4,
586834,7,2,,,1.5,1,,
596821,1,,,,,,,
344152,39,32,8,4,1.38,14,5,
420002,30,22,5,1,1.18,12,2,
108354,37,31,3,3,1.13,13,2,
50201,44,32,5,1,1.06,5,5,
703474,2,,,,,,,
361260,19,11,,,0.18,2,2,
128904,35,28,,,0.79,,3,1
121385,33,33,1,,0.58,2,2,
621993,14,5,1,,0.6,,1,
77812,13,3,,,,2,,
511802,12,12,,,0.67,1,5,
696762,6,,,,,,,
507700,33,26,,1,0.69,4,8,
295630,37,18,,1,0.78,4,2,
471690,36,34,,2,0.53,3,8,
236953,21,15,,,0.73,1,3,
433186,6,1,,,,,,
257805,28,27,1,2,0.74,12,7,
377393,37,33,1,1,0.55,12,5,
390664,26,10,,,0.7,1,,
423744,31,24,,1,0.33,6,2,
126600,32,31,1,,0.58,2,3,
82863,26,19,,,0.58,5,,
724785,4,,,,,,,
332341,12,8,,,0.38,3,2,
258916,36,19,1,1,0.47,8,,
672381,21,13,,1,0.23,,,
451677,30,14,,,0.86,3,,
383109,24,12,,,0.33,6,1,
291739,32,31,1,2,0.65,14,,
570864,6,3,,,,1,1,
393325,26,26,2,1,0.62,14,1,
46972,37,37,11,3,0.59,8,4,
434223,23,17,1,1,0.76,3,,
605498,7,7,,,1.14,1,,
566888,1,,,,,,,
696764,1,,,,,,,
255744,36,36,,,0.81,8,9,
192875,28,17,,,0.76,,3,
81512,31,16,,,0.69,,,
371436,16,5,,,,1,,
59606,35,31,,1,0.74,3,3,
290017,35,30,1,,1.07,7,5,1
286949,33,15,,1,0.67,2,,
50174,15,8,,,0.5,1,4,
610621,8,,,,,,,
503795,33,16,,,0.63,4,,
76467,27,27,,5,0.56,9,2,
486477,37,30,4,1,0.93,8,3,
635336,29,20,,,0.5,9,6,
46001,37,36,2,1,0.56,1,5,
236471,23,13,,,1.31,6,,
