,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
5408,44983,1010,Dan Gosling,Central Midfield,2021,1000000.0,1-Feb-90,31.0,"1,80",right,Kick & Law 
5409,733494,1010,Kamil Conteh,Central Midfield,2021,,26-Dec-02,18.0,"1,77",right,Stars Like Us 
5411,271098,1010,Philip Zinckernagel,Attacking Midfield,2021,3000000.0,16-Dec-94,26.0,"1,75",right,Gol International 
5412,711247,1010,Kwadwo Baah,Left Winger,2021,800000.0,27-Jan-03,18.0,"1,82",right,
5413,875581,1010,Adrian Blake,Left Winger,2021,,15-Jul-05,15.0,,,                                                    Agent is known - Player under 18                                            
5416,626724,1010,João Pedro,Centre-Forward,2021,14000000.0,26-Sep-01,19.0,"1,82",right,Promanager 
5419,91059,1010,Joshua King,Centre-Forward,2021,8000000.0,15-Jan-92,29.0,"1,87",right,ROGON 
5420,120565,1010,Andre Gray,Centre-Forward,2021,2000000.0,26-Jun-91,30.0,"1,78",right,Wasserman 
5421,289846,1010,Ashley Fletcher,Centre-Forward,2021,2000000.0,2-Oct-95,25.0,"1,85",right,Pinnacle Sports 
5422,65477,1010,Troy Deeney,Centre-Forward,2021,1000000.0,29-Jun-88,33.0,"1,84",right,Pinnacle Sports 
5423,594276,1010,Tiago Cukur,Centre-Forward,2021,250000.0,30-Nov-02,18.0,"1,96",right,
5424,852517,1010,Shaqai Forde,Centre-Forward,2021,,5-May-04,17.0,"1,74",right,
5425,974327,1010,Jack Grieves,Centre-Forward,2021,,5-Dec-04,16.0,,right,Every Aspect 
5426,192080,1132,Nick Pope,Goalkeeper,2021,15000000.0,19-Apr-92,29.0,"1,98",right,CAA Stellar 
5427,410436,1132,Bailey Peacock-Farrell,Goalkeeper,2021,900000.0,29-Oct-96,24.0,"1,94",left,Wasserman 
5428,45494,1132,Wayne Hennessey,Goalkeeper,2021,500000.0,24-Jan-87,34.0,"1,98",right,CAA Stellar 
5429,285033,1132,Will Norris,Goalkeeper,2021,300000.0,12-Aug-93,27.0,"1,95",left,World in Motion 
5430,581890,1132,Lukas Jensen,Goalkeeper,2021,50000.0,18-Mar-99,22.0,"1,98",right,KHM Football 
5431,733430,1132,Sam Waller,Goalkeeper,2021,,9-Sep-03,17.0,"1,87",,CAA Stellar 
5432,173504,1132,James Tarkowski,Centre-Back,2021,22000000.0,19-Nov-92,28.0,"1,85",right,
5433,469050,1132,Nathan Collins,Centre-Back,2021,10000000.0,30-Apr-01,20.0,"1,93",right,
5434,74810,1132,Ben Mee,Centre-Back,2021,2500000.0,21-Sep-89,31.0,"1,80",left,Stonemountain ... 
5435,111114,1132,Kevin Long,Centre-Back,2021,1000000.0,18-Aug-90,30.0,"1,88",right,
5437,788283,1132,Bobby Thomas,Centre-Back,2021,200000.0,30-Jan-01,20.0,"1,86",right,
5438,195633,1132,Charlie Taylor,Left-Back,2021,3000000.0,18-Sep-93,27.0,"1,83",left,InterLex Sport 
5439,686839,1132,Owen Dodgson,Left-Back,2021,,19-Mar-03,18.0,"1,78",left,CAA Stellar 
5440,214666,1132,Connor Roberts,Right-Back,2021,2500000.0,23-Sep-95,25.0,"1,75",right,OmniSports 
5441,102258,1132,Matthew Lowton,Right-Back,2021,1200000.0,9-Jun-89,32.0,"1,80",right,
5442,15773,1132,Phil Bardsley,Right-Back,2021,250000.0,28-Jun-85,36.0,"1,80",right,
5443,91317,1132,Ashley Westwood,Defensive Midfield,2021,2000000.0,1-Apr-90,31.0,"1,74",right,Wasserman 
5444,40613,1132,Jack Cork,Defensive Midfield,2021,1800000.0,25-Jun-89,32.0,"1,85",right,Wasserman 
5445,293569,1132,Josh Brownhill,Central Midfield,2021,7000000.0,19-Dec-95,25.0,"1,79",right,
5446,49755,1132,Dale Stephens,Central Midfield,2021,1000000.0,12-Jun-89,32.0,"1,85",right,Unique Sports Group 
5448,596217,1132,Mark Helm,Central Midfield,2021,,21-Oct-01,19.0,"1,73",right,GW Sports 
5449,657863,1132,Lewis Richardson,Attacking Midfield,2021,200000.0,7-Feb-03,18.0,"1,78",right,CAA Base Ltd 
5450,584769,1132,Dwight McNeil,Left Winger,2021,18000000.0,22-Nov-99,21.0,"1,83",left,Unique Sports Group 
5452,614700,1132,Dara Costelloe,Left Winger,2021,,11-Dec-02,18.0,"1,75",left,
5453,89231,1132,Jóhann Berg Gudmundsson,Right Winger,2021,2000000.0,27-Oct-90,30.0,"1,86",left,CAA Stellar 
5454,14221,1132,Aaron Lennon,Right Winger,2021,1000000.0,16-Apr-87,34.0,"1,65",right,CAA Base Ltd 
5456,108725,1132,Chris Wood,Centre-Forward,2021,10000000.0,7-Dec-91,29.0,"1,91",right,CAA Base Ltd 
5457,53360,1132,Jay Rodríguez,Centre-Forward,2021,2000000.0,29-Jul-89,31.0,"1,85",right,Beswicks Sports Ltd 
5458,101500,1132,Matej Vydra,Centre-Forward,2021,2000000.0,1-May-92,29.0,"1,80",right,CHOVANECSPORT 
5459,63200,1132,Ashley Barnes,Centre-Forward,2021,1500000.0,30-Oct-89,31.0,"1,85",right,CAA Base Ltd 
5460,704801,1132,Joe McGlynn,Centre-Forward,2021,,27-Sep-02,18.0,,,CSG 
5464,164145,27,Ivan Lucic,Goalkeeper,2015,250000.0,23-Mar-95,20.0,"1,94",right,Germania ... 
5468,34593,27,Serdar Tasci,Centre-Back,2015,5000000.0,24-Apr-87,28.0,,,Relatives 
5471,49734,27,Jan Kirchhoff,Centre-Back,2015,1500000.0,1-Oct-90,24.0,"1,95",right,ROGON 
5473,82008,27,Phillipp Steinhart,Left-Back,2015,150000.0,7-Jul-92,22.0,"1,82",left,PRO Profil GmbH 
5486,125105,27,Patrick Weihrauch,Attacking Midfield,2015,200000.0,3-Mar-94,21.0,"1,81",right,SMG GmbH 
5502,299328,16,Patrick Fritsch,Centre-Back,2015,,21-Dec-98,16.0,"1,84",right,Thorsten Weck 
5512,245034,16,Jon Gorenc Stankovic,Defensive Midfield,2015,300000.0,14-Jan-96,19.0,"1,90",right,ROGON 
5513,53622,16,Ilkay Gündogan,Central Midfield,2015,30000000.0,24-Oct-90,24.0,"1,80",right,KIN Partners 
5531,65255,82,Timm Klose,Centre-Back,2015,5000000.0,9-May-88,27.0,"1,95",right,Giallanza Sport 
5534,45448,82,Felipe Lopes,Centre-Back,2015,750000.0,7-Aug-87,27.0,"1,89",right,
5547,88755,82,Kevin De Bruyne,Attacking Midfield,2015,60000000.0,28-Jun-91,24.0,"1,81",right,
5556,157927,82,Sebastian Stolze,Right Winger,2015,200000.0,29-Jan-95,20.0,"1,82",right,Karl M. Herzog ... 
5559,34557,82,Nicklas Bendtner,Centre-Forward,2015,1000000.0,16-Jan-88,27.0,"1,94",right,
5561,14219,15,Dario Kresic,Goalkeeper,2015,500000.0,11-Jan-84,31.0,,,
5562,4746,15,David Yelldell,Goalkeeper,2015,150000.0,1-Oct-81,33.0,"1,94",right,fair-sport GmbH 
5571,36914,15,Sebastian Boenisch,Left-Back,2015,1500000.0,1-Feb-87,28.0,"1,91",right,
5586,91845,15,Heung-min Son,Left Winger,2015,25000000.0,8-Jul-92,22.0,"1,84",both,CAA Base Ltd 
5595,17029,33,Michael Gspurning,Goalkeeper,2015,200000.0,2-May-81,34.0,"1,95",right,fair-sport GmbH 
5597,1363,33,Christian Wetklo,Goalkeeper,2015,100000.0,11-Jan-80,35.0,"1,90",right,extratime GmbH 
5598,82105,33,Joel Matip,Centre-Back,2015,18000000.0,8-Aug-91,23.0,"1,95",right,ASBW Sport Marketing 
5610,40478,33,Roman Neustädter,Defensive Midfield,2015,7000000.0,18-Feb-88,27.0,"1,88",right,Unique Sports Group 
5613,167799,33,Pierre-Emile Höjbjerg,Central Midfield,2015,6000000.0,5-Aug-95,19.0,"1,85",right,Gol International 
5629,62915,18,Álvaro Domínguez,Centre-Back,2015,8000000.0,16-May-89,26.0,,,Relatives 
