defence_score,attack_score,diffrence
2633.5534109885266,2798.4140059550364,-164.86059496650978
2469.865475035275,2638.097089026469,-168.23161399119408
812.6237373737375,981.0527597402597,-168.4290223665222
1550.6029039508285,1719.859291432695,-169.25638748186657
1784.3846548687866,1967.6545111583598,-183.26985628957323
7.64846444587824,224.15376984126982,-216.5053053953916
1877.231662083733,2113.7380423329573,-236.50638024922432
984.2260884234564,1229.608198365826,-245.38210994236954
613.6792104260271,859.9092455041097,-246.23003507808255
1898.6816495453643,2147.015846248722,-248.33419670335775
712.7915310541723,966.9865829443806,-254.19505189020833
96.55458532695376,355.2708333333333,-258.71624800637954
71.99534050179213,337.50595238095235,-265.51061187916025
471.74676146405585,763.4444887227783,-291.6977272587224
1385.0881929171856,1685.4497225741297,-300.3615296569442
885.8603290846987,1202.7167653026042,-316.8564362179055
551.8457061443803,884.6437185863781,-332.7980124419978
312.16577808783694,652.2808632157316,-340.1150851278947
264.58856321000206,617.8616109043087,-353.2730476943066
2601.7795530951994,2987.5544565672517,-385.7749034720523
940.474658795139,1356.5468616498692,-416.0722028547302
1533.0040320751439,1956.8338056577695,-423.82977358262565
1557.316124245194,1995.1978536155798,-437.88172937038576
1685.6638400057757,2147.7876765629235,-462.1238365571478
886.6724708561844,1368.7885633947592,-482.1160925385748
1210.8445933663954,1727.2301807375502,-516.3855873711548
2075.3250478708246,2606.397616321975,-531.0725684511503
1395.7792352815236,1948.2929616857257,-552.5137264042021
2124.694437977605,2684.695853873126,-560.001415895521
995.0449499831825,1586.8085482278236,-591.7635982446411
1399.1216825782835,2005.7497270797835,-606.6280445015
75.82142857142857,700.526381520778,-624.7049529493495
902.3281826694555,1577.0504692860568,-674.7222866166013
1023.5435034934632,1723.3779420048304,-699.8344385113672
760.9889606577669,1493.4686488949646,-732.4796882371977
1753.6740810706722,2547.230677028781,-793.5565959581088
801.20765881827,1638.9742280390822,-837.7665692208121
959.9307011702786,2153.2405888480325,-1193.309887677754
1102.690186610243,2445.0557862276078,-1342.3655996173648
32.98913043478261,,
68.74107142857142,,
