club_id,player_id,games_played,total_games
631,29241,32,36
631,29241,30,31
631,29241,27,29
631,29241,25,32
631,29241,25,27
631,29241,21,21
631,316551,1,2
631,316125,,9
631,316125,12,27
631,316125,24,32
631,316125,36,36
631,316125,27,28
631,316125,27,34
631,316125,7,13
631,316125,27,28
631,316125,27,34
631,316125,7,13
631,181778,10,16
631,181778,15,22
631,181778,2,21
631,181778,30,34
631,181778,15,22
631,181778,2,21
631,181778,30,34
631,181778,8,35
631,181778,25,35
631,181778,6,24
631,181778,30,34
631,112515,33,36
631,112515,31,32
631,112515,18,27
631,112515,13,22
631,112515,18,27
631,112515,13,22
631,112515,28,34
631,112515,31,31
631,112515,33,36
631,224884,15,29
631,224884,13,16
631,224884,13,16
631,224884,15,29
631,224884,13,16
631,224884,1,2
631,224884,13,16
631,224884,13,16
631,224884,2,2
631,670858,,2
631,670858,,2
631,472423,24,29
631,472423,32,35
631,472423,26,27
631,472423,24,29
631,472423,32,35
631,472423,26,27
631,57500,37,38
631,57500,38,38
631,57500,37,38
631,57500,38,38
631,57500,36,38
631,57500,26,38
631,57500,27,34
631,57500,36,38
631,57500,26,38
631,57500,27,34
631,102017,31,35
631,102017,28,38
631,102017,29,36
631,102017,31,35
631,102017,28,38
631,102017,29,36
631,102017,35,36
631,102017,27,37
631,102017,33,37
631,51471,31,34
631,51471,27,30
631,51471,25,25
631,51471,31,34
631,51471,27,30
631,51471,25,25
631,51471,25,35
631,51471,27,37
631,51471,21,28
631,148928,13,36
631,148928,13,36
631,148928,31,38
631,148928,33,35
631,148928,36,36
631,148928,33,34
631,148928,35,36
631,148928,33,34
631,148928,13,36
631,202886,13,30
631,202886,24,24
631,202886,24,26
631,202886,7,11
631,202886,31,33
631,202886,31,33
631,202886,24,30
631,202886,7,11
631,202886,31,33
631,202886,24,30
631,423744,6,11
631,423744,5,17
631,423744,24,31
631,423744,24,31
631,423744,6,11
631,423744,5,17
631,423744,24,31
631,423744,24,31
631,131978,38,38
631,131978,2,8
631,131978,21,28
631,131978,26,31
631,131978,26,31
631,131978,6,27
631,131978,21,28
631,131978,26,31
631,131978,26,31
631,131978,6,27
631,198589,8,16
631,73491,35,35
631,73491,29,29
631,73491,12,20
631,73491,5,16
631,73491,5,16
631,73491,5,16
631,346483,37,38
631,346483,36,37
631,346483,32,35
631,346483,37,38
631,346483,36,37
631,346483,32,35
631,309400,27,31
631,309400,29,35
631,309400,27,31
631,309400,29,35
631,309400,24,27
631,309400,30,33
631,309400,34,34
631,309400,30,31
631,581675,,3
631,581675,,3
631,392768,2,4
631,392768,22,25
631,392768,23,33
631,392768,15,22
631,392768,22,25
631,392768,23,33
631,392768,15,22
631,281404,14,24
631,281404,13,17
631,281404,25,28
631,281404,19,22
631,281404,1,8
631,281404,25,28
631,281404,19,22
631,281404,1,8
631,281404,19,22
631,281404,42,47
631,315779,25,29
631,315779,27,29
631,315779,22,27
631,315779,9,11
631,315779,25,29
631,315779,27,29
631,315779,22,27
631,315779,9,11
631,315779,29,34
631,315779,32,32
631,217111,23,28
631,217111,23,36
631,217111,23,28
631,217111,23,36
631,96341,37,38
631,96341,34,34
631,96341,26,29
