,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
82,76277,11,Laurent Koscielny,Centre-Back,2015,,"Sep 10, 1985 ",37.0,"1,86",right,SMI SPORTS ... 
83,6710,11,Per Mertesacker,Centre-Back,2015,,"Sep 29, 1984 ",38.0,"2,00",right,ROOF 
84,149498,11,Gabriel Paulista,Centre-Back,2015,3000000.0,"Nov 26, 1990 ",32.0,"1,87",right,ADM Esporte 
85,215118,11,Calum Chambers,Centre-Back,2015,8000000.0,"Jan 20, 1995 ",28.0,"1,82",right,Relatives 
86,27306,11,Mathieu Debuchy,Centre-Back,2015,400000.0,"Jul 28, 1985 ",37.0,"1,77",right,
87,43003,11,Nacho Monreal,Left-Back,2015,,"Feb 26, 1986 ",37.0,"1,79",left,GLOBAL ASES 
88,44792,11,Kieran Gibbs,Left-Back,2015,,"Sep 26, 1989 ",33.0,"1,81",left,GROW 
89,191217,11,Héctor Bellerín,Right-Back,2015,8000000.0,"Mar 19, 1995 ",28.0,"1,78",right,Goal Management 
90,126321,11,Carl Jenkinson,Right-Back,2015,450000.0,"Feb 8, 1992 ",31.0,"1,85",right,
91,74869,11,Francis Coquelin,Defensive Midfield,2015,5000000.0,"May 13, 1991 ",32.0,"1,77",right,One Team Football  
92,160438,11,Mohamed Elneny,Defensive Midfield,2015,9000000.0,"Jul 11, 1992 ",30.0,"1,79",right,CAA Base Ltd 
93,17396,11,Mathieu Flamini,Defensive Midfield,2015,,"Mar 7, 1984 ",39.0,"1,78",right,Darren Dein 
94,287247,11,Krystian Bielik,Defensive Midfield,2015,3000000.0,"Jan 4, 1998 ",25.0,"1,89",right,KFM 
95,206225,11,Isaac Hayden,Defensive Midfield,2015,4000000.0,"Mar 22, 1995 ",28.0,"1,87",right,Unique Sports Group 
96,351816,11,Ismaël Bennacer,Defensive Midfield,2015,40000000.0,"Dec 1, 1997 ",25.0,"1,75",left,Team Raiola 
97,242632,11,Glen Kamara,Defensive Midfield,2015,6000000.0,"Oct 28, 1995 ",27.0,"1,83",right,StormSportsX 
98,314384,11,Ben Sheaf,Defensive Midfield,2015,3800000.0,"Feb 5, 1998 ",25.0,"1,85",right,Crown Football ... 
99,50057,11,Aaron Ramsey,Central Midfield,2015,3000000.0,"Dec 26, 1990 ",32.0,"1,78",right,Avid Sports Group 
100,15799,11,Santi Cazorla,Central Midfield,2015,700000.0,"Dec 13, 1984 ",38.0,"1,68",both,IFM 
101,74223,11,Jack Wilshere,Central Midfield,2015,,"Jan 1, 1992 ",31.0,"1,72",left,Wasserman 
102,143424,11,Alex Oxlade-Chamberlain,Central Midfield,2015,10000000.0,"Aug 15, 1993 ",29.0,"1,75",right,Colossal Sports ... 
